dia_semana;uf;br;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;condicao_metereologica;pessoas;mortos;feridos;veiculos
sabado;SC;101;TUBARAO;Desrespeitar a preferencia no cruzamento;Tombamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;1;0;1;1
sabado;SC;282;ARAQUARI;Acesso irregular;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
sabado;SC;101;ITAPEMA;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;4;0;1;3
sabado;SC;470;INDAIAL;Conversao proibida;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia;Ceu Claro;3;0;2;2
sabado;SC;101;GARUVA;Condutor deixou de manter distancia do veiculo da frente;Colisao com objeto;Com Vitimas Feridas;Pleno dia;Garoa/Chuvisco;3;0;2;1
sabado;SC;101;BALNEARIO CAMBORIU;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Nublado;3;0;2;3
sabado;SC;116;PONTE ALTA;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;2;1
sabado;SC;101;TIJUCAS;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Plena Noite;Ceu Claro;3;0;2;2
sabado;SC;470;GASPAR;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Nublado;4;0;3;2
sabado;SC;101;BARRA VELHA;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Plena Noite;Ceu Claro;3;0;1;2
sabado;SC;280;ARAQUARI;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Sem Vitimas;Plena Noite;Nublado;2;0;0;2
sabado;SC;282;SAO JOSE DO CERRITO;Transitar na contramao;Colisao frontal;Com Vitimas Fatais;Plena Noite;Ceu Claro;2;1;1;2
domingo;SC;101;ITAJAI;Reacao tardia ou ineficiente do condutor;Colisao lateral;Com Vitimas Feridas;Plena Noite;Ceu Claro;3;0;1;2
domingo;SC;101;PORTO BELO;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Plena Noite;Nublado;3;0;2;2
domingo;SC;282;PINHALZINHO;Ingestao de alcool pelo condutor;Saida de leito carrocavel;Sem Vitimas;Amanhecer;Ceu Claro;1;0;0;1
domingo;SC;101;JOINVILLE;Demais falhas mecanicas ou eletricas;Colisao com objeto;Sem Vitimas;Amanhecer;Nublado;1;0;0;1
domingo;SC;282;PALHOCA;Acessar a via sem observar a presenca dos outros veiculos;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;3;0;1;2
domingo;SC;101;PALHOCA;Trafegar com motocicleta (ou similar) entre as faixas;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
domingo;SC;470;APIUNA;Manobra de mudanca de faixa;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;4;0;3;2
domingo;SC;101;ARAQUARI;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Sol;2;0;1;2
domingo;SC;101;BARRA VELHA;Manobra de mudanca de faixa;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia;Ceu Claro;3;0;1;2
domingo;SC;282;VARGEM;Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
domingo;SC;158;CUNHA PORA;Acessar a via sem observar a presenca dos outros veiculos;Colisao frontal;Com Vitimas Feridas;Pleno dia;Ceu Claro;3;0;1;2
domingo;SC;282;VARGEM BONITA;Velocidade Incompativel;Colisao com objeto;Com Vitimas Feridas;Pleno dia;Chuva;4;0;4;1
domingo;SC;101;LAGUNA;Condutor deixou de manter distancia do veiculo da frente;Engavetamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;8;0;3;6
domingo;SC;101;BARRA VELHA;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Sol;3;0;1;2
domingo;SC;101;ICARA;Demais falhas mecanicas ou eletricas;Incendio;Sem Vitimas;Pleno dia;Ceu Claro;1;0;0;1
domingo;SC;470;POUSO REDONDO;Mal subito do condutor;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;2;1
domingo;SC;470;ASCURRA;Ausencia de reacao do condutor;Colisao frontal;Com Vitimas Feridas;Plena Noite;Ceu Claro;2;0;1;2
domingo;SC;101;ITAPEMA;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Sem Vitimas;Plena Noite;Garoa/Chuvisco;2;0;0;2
domingo;SC;101;LAGUNA;Condutor deixou de manter distancia do veiculo da frente;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
domingo;SC;101;NAVEGANTES;Transitar na contramao;Colisao frontal;Com Vitimas Feridas;Pleno dia;Ceu Claro;7;0;7;2
domingo;SC;470;INDAIAL;Acessar a via sem observar a presenca dos outros veiculos;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia;Sol;2;0;1;2
domingo;SC;101;GARUVA;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Plena Noite;Nublado;3;0;1;2
domingo;SC;101;SAO JOSE;Ausencia de reacao do condutor;Colisao traseira;Sem Vitimas;Plena Noite;Ceu Claro;2;0;0;2
domingo;SC;280;MAFRA;Problema com o freio;Incendio;Sem Vitimas;Plena Noite;Nublado;1;0;0;1
segunda-feira;SC;280;ARAQUARI;Conversao proibida;Colisao transversal;Com Vitimas Feridas;Pleno dia;Nublado;2;0;1;2
segunda-feira;SC;101;PALHOCA;Trafegar com motocicleta (ou similar) entre as faixas;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
segunda-feira;SC;101;SAO JOSE;Trafegar com motocicleta (ou similar) entre as faixas;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
segunda-feira;SC;101;JOINVILLE;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Nublado;3;0;2;2
segunda-feira;SC;101;ITAJAI;Desrespeitar a preferencia no cruzamento;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
segunda-feira;SC;101;PALHOCA;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
segunda-feira;SC;101;PORTO BELO;Acumulo de oleo sobre o pavimento;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Ceu Claro;1;0;1;1
segunda-feira;SC;101;PALHOCA;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;6;0;2;4
segunda-feira;SC;101;SAO JOSE;Reacao tardia ou ineficiente do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
segunda-feira;SC;470;NAVEGANTES;Desrespeitar a preferencia no cruzamento;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;2;2
segunda-feira;SC;101;SAO JOSE;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Sol;2;0;1;2
segunda-feira;SC;101;SAO JOSE;Reacao tardia ou ineficiente do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;5;0;1;4
domingo;SC;470;IBIRAMA;Demais falhas mecanicas ou eletricas;Derramamento de carga;Sem Vitimas;Plena Noite;Ceu Claro;1;0;0;1
segunda-feira;SC;101;LAGUNA;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;4;0;1;3
segunda-feira;SC;101;BALNEARIO CAMBORIU;Manobra de mudanca de faixa;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
segunda-feira;SC;470;RIO DO SUL;Curva acentuada;Tombamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;1;0;1;1
segunda-feira;SC;101;GARUVA;Ingestao de alcool pelo condutor;Tombamento;Com Vitimas Feridas;Pleno dia;Nublado;1;0;1;1
segunda-feira;SC;101;JOINVILLE;Demais falhas mecanicas ou eletricas;Tombamento;Com Vitimas Feridas;Pleno dia;Nublado;2;0;2;1
segunda-feira;SC;280;RIO NEGRINHO;Trafegar com motocicleta (ou similar) entre as faixas;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;3;0;2;2
segunda-feira;SC;280;CORUPA;Demais falhas mecanicas ou eletricas;Colisao frontal;Com Vitimas Feridas;Pleno dia;Ceu Claro;4;0;1;3
segunda-feira;SC;158;PALMITOS;Velocidade Incompativel;Colisao com objeto;Com Vitimas Feridas;Pleno dia;Ceu Claro;1;0;1;1
segunda-feira;SC;280;GUARAMIRIM;Acessar a via sem observar a presenca dos outros veiculos;Colisao transversal;Com Vitimas Feridas;Pleno dia;Nublado;2;0;1;2
segunda-feira;SC;282;ALFREDO WAGNER;Ultrapassagem Indevida;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;1;0;1;1
segunda-feira;SC;101;ITAJAI;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
segunda-feira;SC;470;NAVEGANTES;Velocidade Incompativel;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
segunda-feira;SC;101;SAO JOSE;Reacao tardia ou ineficiente do condutor;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Ceu Claro;1;0;1;1
segunda-feira;SC;101;SAO JOSE;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Plena Noite;Ceu Claro;2;0;1;2
segunda-feira;SC;101;BARRA VELHA;Reacao tardia ou ineficiente do condutor;Colisao traseira;Sem Vitimas;Pleno dia;Ceu Claro;3;0;0;3
segunda-feira;SC;101;GARUVA;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Plena Noite;Nublado;9;0;4;2
terca-feira;SC;101;ARAQUARI;Mal subito do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia;Nublado;2;0;1;2
terca-feira;SC;280;GUARAMIRIM;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;3;0;2;2
terca-feira;SC;101;JAGUARUNA;Reacao tardia ou ineficiente do condutor;Tombamento;Com Vitimas Feridas;Plena Noite;Ceu Claro;2;0;1;2
segunda-feira;SC;101;BALNEARIO CAMBORIU;Mal subito do condutor;Tombamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;1;0;1;1
terca-feira;SC;101;PASSO DE TORRES;Condutor Dormindo;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Nublado;1;0;1;1
terca-feira;SC;101;PALHOCA;Ausencia de reacao do condutor;Colisao lateral mesmo sentido;Sem Vitimas;Pleno dia;Nublado;4;0;0;4
terca-feira;SC;101;SAO JOSE;Ultrapassagem Indevida;Colisao lateral;Com Vitimas Feridas;Pleno dia;Nublado;3;0;1;2
terca-feira;SC;282;VARGEM BONITA;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;3;0;1;1
terca-feira;SC;116;MAFRA;Desrespeitar a preferencia no cruzamento;Colisao transversal;Sem Vitimas;Pleno dia;Ceu Claro;3;0;0;2
terca-feira;SC;470;BLUMENAU;Acessar a via sem observar a presenca dos outros veiculos;Colisao transversal;Com Vitimas Feridas;Pleno dia;Chuva;2;0;1;2
terca-feira;SC;470;IBIRAMA;Avarias e/ou desgaste excessivo no pneu;Tombamento;Com Vitimas Feridas;Pleno dia;Chuva;2;0;2;1
terca-feira;SC;101;ITAJAI;Manobra de mudanca de faixa;Colisao lateral;Com Vitimas Feridas;Pleno dia;Nublado;2;0;1;2
terca-feira;SC;101;ITAPEMA;Manobra de mudanca de faixa;Colisao lateral;Com Vitimas Feridas;Plena Noite;Garoa/Chuvisco;3;0;1;3
terca-feira;SC;282;VARGEM;Velocidade Incompativel;Colisao lateral;Com Vitimas Feridas;Pleno dia;Chuva;2;0;2;2
terca-feira;SC;101;ITAPEMA;Reacao tardia ou ineficiente do condutor;Colisao lateral;Com Vitimas Feridas;Pleno dia;Nublado;2;0;1;2
terca-feira;SC;101;ITAPEMA;Condutor deixou de manter distancia do veiculo da frente;Colisao lateral;Com Vitimas Feridas;Plena Noite;Garoa/Chuvisco;2;0;1;2
terca-feira;SC;470;TROMBUDO CENTRAL;Ingestao de alcool pelo condutor;Colisao com objeto;Com Vitimas Feridas;Pleno dia;Nublado;2;0;1;2
quarta-feira;SC;101;BALNEARIO CAMBORIU;Pista Escorregadia;Capotamento;Com Vitimas Feridas;Plena Noite;Nublado;5;0;2;1
terca-feira;SC;282;IRACEMINHA;Ultrapassagem Indevida;Colisao frontal;Com Vitimas Fatais;Pleno dia;Chuva;4;2;1;3
quarta-feira;SC;101;ITAJAI;Acessar a via sem observar a presenca dos outros veiculos;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;1;0;1;1
quarta-feira;SC;282;PALHOCA;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;3;0;1;3
quarta-feira;SC;101;PALHOCA;Chuva;Colisao com objeto;Com Vitimas Feridas;Pleno dia;Chuva;2;0;1;1
quarta-feira;SC;101;BALNEARIO CAMBORIU;Acessar a via sem observar a presenca dos outros veiculos;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;2;2
quarta-feira;SC;470;APIUNA;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;3;0;1;2
quarta-feira;SC;282;AGUAS MORNAS;Chuva;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;1;0;1;1
quarta-feira;SC;280;GUARAMIRIM;Acessar a via sem observar a presenca dos outros veiculos;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia;Garoa/Chuvisco;3;0;2;2
quarta-feira;SC;470;INDAIAL;Reacao tardia ou ineficiente do condutor;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Nublado;1;0;1;1
quarta-feira;SC;101;PALHOCA;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;3;0;1;2
quarta-feira;SC;101;SAO JOSE;Velocidade Incompativel;Colisao com objeto;Com Vitimas Feridas;Anoitecer;Nublado;1;0;1;1
quarta-feira;SC;101;SAO JOSE;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Sem Vitimas;Plena Noite;Nublado;4;0;0;4
quarta-feira;SC;153;CONCORDIA;Desrespeitar a preferencia no cruzamento;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
quarta-feira;SC;101;LAGUNA;Manobra de mudanca de faixa;Colisao transversal;Com Vitimas Feridas;Plena Noite;Ceu Claro;3;0;1;3
quarta-feira;SC;470;SAO CRISTOVAO DO SUL;Manobra de mudanca de faixa;Colisao transversal;Com Vitimas Feridas;Pleno dia;Chuva;3;0;2;2
quarta-feira;SC;470;SAO CRISTOVAO DO SUL;Chuva;Tombamento;Com Vitimas Feridas;Pleno dia;Chuva;3;0;2;1
quinta-feira;SC;101;PALHOCA;Reacao tardia ou ineficiente do condutor;Colisao com objeto;Com Vitimas Feridas;Plena Noite;Nublado;3;0;3;1
quinta-feira;SC;470;INDAIAL;Conversao proibida;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
quinta-feira;SC;101;PALHOCA;Ausencia de reacao do condutor;Atropelamento de Pedestre;Com Vitimas Fatais;Amanhecer;Sol;2;1;0;1
quarta-feira;SC;280;CORUPA;Chuva;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Chuva;1;0;1;1
quinta-feira;SC;101;SAO JOSE;Reacao tardia ou ineficiente do condutor;Colisao lateral;Com Vitimas Feridas;Pleno dia;Nublado;3;0;1;3
quinta-feira;SC;101;PALHOCA;Manobra de mudanca de faixa;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia;Sol;2;0;1;2
quinta-feira;SC;101;JOINVILLE;Ultrapassagem Indevida;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
quinta-feira;SC;470;RIO DO SUL;Desrespeitar a preferencia no cruzamento;Colisao transversal;Com Vitimas Feridas;Pleno dia;Sol;2;0;1;2
quinta-feira;SC;470;BRUNOPOLIS;Transitar na contramao;Colisao frontal;Com Vitimas Fatais;Pleno dia;Ceu Claro;4;1;0;3
quinta-feira;SC;101;ARAQUARI;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Nublado;1;0;1;1
quinta-feira;SC;101;PALHOCA;Transitar na contramao;Colisao lateral;Com Vitimas Feridas;Pleno dia;Chuva;2;0;1;2
quinta-feira;SC;101;JOINVILLE;Ausencia de reacao do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia;Nublado;2;0;1;2
quinta-feira;SC;280;RIO NEGRINHO;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;2;1
quinta-feira;SC;101;TUBARAO;Condutor Dormindo;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;1;0;1;1
quinta-feira;SC;163;SAO MIGUEL DO OESTE;Acessar a via sem observar a presenca dos outros veiculos;Colisao transversal;Com Vitimas Feridas;Pleno dia;Nublado;2;0;1;2
quinta-feira;SC;101;SAO JOAO DO SUL;Demais falhas mecanicas ou eletricas;Capotamento;Com Vitimas Feridas;Pleno dia;Nublado;1;0;1;1
quinta-feira;SC;101;IMBITUBA;Transitar na contramao;Colisao frontal;Com Vitimas Feridas;Plena Noite;Ceu Claro;5;0;5;2
quinta-feira;SC;282;SAO JOSE;Frear bruscamente;Colisao lateral;Com Vitimas Feridas;Plena Noite;Nublado;2;0;1;2
quinta-feira;SC;101;ITAJAI;Manobra de mudanca de faixa;Colisao lateral mesmo sentido;Com Vitimas Feridas;Plena Noite;Chuva;2;0;1;2
quinta-feira;SC;101;ICARA;Reacao tardia ou ineficiente do condutor;Colisao traseira;Com Vitimas Feridas;Plena Noite;Nublado;3;0;1;2
quinta-feira;SC;101;BALNEARIO CAMBORIU;Manobra de mudanca de faixa;Colisao traseira;Com Vitimas Feridas;Plena Noite;Ceu Claro;2;0;1;2
quinta-feira;SC;280;JARAGUA DO SUL;Reacao tardia ou ineficiente do condutor;Colisao lateral sentido oposto;Sem Vitimas;Plena Noite;Nublado;3;0;0;2
sexta-feira;SC;101;SAO JOSE;Acessar a via sem observar a presenca dos outros veiculos;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
sexta-feira;SC;101;LAGUNA;Obras na pista;Colisao traseira;Com Vitimas Feridas;Pleno dia;Sol;2;0;1;2
sexta-feira;SC;101;ITAJAI;Velocidade Incompativel;Tombamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;1;0;1;1
sexta-feira;SC;470;LONTRAS;Desrespeitar a preferencia no cruzamento;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;3;0;2;2
sexta-feira;SC;101;ITAPEMA;Manobra de mudanca de faixa;Colisao lateral;Com Vitimas Feridas;Pleno dia;Nublado;2;0;1;2
sexta-feira;SC;101;ITAJAI;Reacao tardia ou ineficiente do condutor;Colisao lateral mesmo sentido;Com Vitimas Feridas;Pleno dia;Nublado;2;0;1;2
sexta-feira;SC;280;JARAGUA DO SUL;Reacao tardia ou ineficiente do condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia;Nublado;2;0;1;2
sexta-feira;SC;101;BALNEARIO CAMBORIU;Desrespeitar a preferencia no cruzamento;Colisao transversal;Com Vitimas Feridas;Pleno dia;Nublado;2;0;1;2
sexta-feira;SC;101;JOINVILLE;Reacao tardia ou ineficiente do condutor;Colisao lateral;Com Vitimas Feridas;Pleno dia;Chuva;3;0;1;3
sexta-feira;SC;280;SAO BENTO DO SUL;Acessar a via sem observar a presenca dos outros veiculos;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;3;0;2;2
sexta-feira;SC;101;BALNEARIO CAMBORIU;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Anoitecer;Ceu Claro;2;0;1;2
sexta-feira;SC;101;ITAPEMA;Acessar a via sem observar a presenca dos outros veiculos;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;3;0;1;2
sexta-feira;SC;101;ITAJAI;Velocidade Incompativel;Colisao lateral;Com Vitimas Feridas;Plena Noite;Ceu Claro;2;0;1;2
sexta-feira;SC;101;ITAJAI;Trafegar com motocicleta (ou similar) entre as faixas;Colisao traseira;Com Vitimas Feridas;Plena Noite;Nublado;2;0;1;2
sexta-feira;SC;280;GUARAMIRIM;Ingestao de alcool pelo condutor;Colisao transversal;Com Vitimas Feridas;Plena Noite;Nublado;2;0;1;2
sexta-feira;SC;101;BALNEARIO CAMBORIU;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Anoitecer;Ceu Claro;2;0;1;2
sexta-feira;SC;282;XAXIM;Acessar a via sem observar a presenca dos outros veiculos;Colisao lateral;Com Vitimas Feridas;Plena Noite;Ceu Claro;3;0;2;2
sabado;SC;101;TUBARAO;Ingestao de alcool pelo condutor;Saida de leito carrocavel;Sem Vitimas;Plena Noite;Ceu Claro;1;0;0;1
sabado;SC;101;BIGUACU;Velocidade Incompativel;Colisao traseira;Sem Vitimas;Plena Noite;Nublado;2;0;0;2
sabado;SC;101;SAO JOSE;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Amanhecer;Ceu Claro;2;0;1;1
sabado;SC;116;MONTE CASTELO;Problema com o freio;Tombamento;Sem Vitimas;Plena Noite;Garoa/Chuvisco;1;0;0;1
sabado;SC;116;MONTE CASTELO;Condutor Dormindo;Tombamento;Com Vitimas Feridas;Amanhecer;Garoa/Chuvisco;2;0;1;1
sabado;SC;153;CONCORDIA;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;3;0;2;2
sabado;SC;280;ARAQUARI;Reacao tardia ou ineficiente do condutor;Colisao transversal;Com Vitimas Feridas;Pleno dia;Sol;2;0;1;2
sabado;SC;470;INDAIAL;Manobra de mudanca de faixa;Colisao lateral sentido oposto;Com Vitimas Feridas;Pleno dia;Ceu Claro;3;0;1;2
sabado;SC;470;APIUNA;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;1;0;1;1
sabado;SC;470;GASPAR;Acessar a via sem observar a presenca dos outros veiculos;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;4;0;1;2
sabado;SC;101;SAO JOSE;Demais falhas mecanicas ou eletricas;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;2;1
